sym,tf,group,cond,h,win,n,mean_pips,t
EURUSD,60min,hour,h20,2,oos,522,0.7367816091954011,1.5822536836840313
EURUSD,60min,hour,h21,2,is,622,0.0008038585209734549,0.0027192333405682226
EURUSD,60min,hour,h21,2,oos,522,1.0439655172414934,2.253256371957715
EURUSD,60min,hour,h22,2,is,622,0.3425241157556649,1.1938075135843678
EURUSD,60min,hour,h22,2,oos,522,0.8166666666666953,2.003975827518156
EURUSD,60min,hour,h23,2,is,622,-0.1583601286173798,-0.37374998425178846
EURUSD,60min,hour,h23,2,oos,521,0.09117082533582067,0.17743511808607965
EURUSD,60min,dow,dow0,2,is,2473,0.2566316215123404,0.8644774352782287
EURUSD,60min,dow,dow0,2,oos,2088,0.007806513409964931,0.025720698409713885
EURUSD,60min,dow,dow1,2,is,2496,-0.21792868589743705,-0.6391864851990567
EURUSD,60min,dow,dow1,2,oos,2088,-0.09604885057472079,-0.3431972733436879
EURUSD,60min,dow,dow2,2,is,2496,0.7450921474359089,2.1585688513686767
EURUSD,60min,dow,dow2,2,oos,2088,0.12052203065135103,0.3720521659006251
EURUSD,60min,dow,dow3,2,is,2473,-0.3693691872220061,-0.9682762035427966
EURUSD,60min,dow,dow3,2,oos,2088,0.3044779693486524,0.9823011052806064
EURUSD,60min,dow,dow4,2,is,2496,-0.38377403846154434,-1.1575109346577068
EURUSD,60min,dow,dow4,2,oos,2088,0.13424329501914958,0.40352582361009814
EURUSD,60min,vol,vol_low,2,is,4815,0.052419522326060314,0.44966174875520176
EURUSD,60min,vol,vol_low,2,oos,4194,-0.18854315689079482,-1.6393888721435879
EURUSD,60min,vol,vol_mid,2,is,4736,0.1783150337837822,0.7978230048183149
EURUSD,60min,vol,vol_mid,2,oos,4069,0.17248709756699254,0.8634211636954072
EURUSD,60min,vol,vol_high,2,is,4985,-0.26749247743229093,-0.9012432306971078
EURUSD,60min,vol,vol_high,2,oos,4351,0.31963916341068677,1.2108147910855083
EURUSD,60min,z50,z<-2,2,is,1091,0.1714940421631756,0.30955741296550215
EURUSD,60min,z50,z<-2,2,oos,899,0.5253615127920046,1.0819237209529504
