sym,cond,h,win,n,mean,t,tf
EURUSD,sunday_open,12,is,8257,0.20565122039196002,2.149791503840276,15min
EURUSD,sunday_open,12,oos,4992,-0.012275403685384352,-0.10095059692752044,15min
EURUSD,sunday_open,24,is,8257,0.49419574343621514,3.4824558651135322,15min
EURUSD,sunday_open,24,oos,4992,0.07257315921438294,0.42583446459611507,15min
GBPUSD,asia_break_up,1,is,379,0.0017184941337098816,0.005421007299710677,15min
GBPUSD,asia_break_up,1,oos,209,-0.29842730358337655,-0.7181776786563162,15min
GBPUSD,asia_break_up,2,is,379,-0.3348215869303303,-0.8298821314447079,15min
GBPUSD,asia_break_up,2,oos,209,-0.5366177327701903,-0.8828054206333001,15min
GBPUSD,asia_break_up,4,is,379,0.0009373010733283247,0.0014665544650598772,15min
GBPUSD,asia_break_up,4,oos,209,-0.00027323197334904386,-0.0003493474903478954,15min
GBPUSD,asia_break_up,8,is,379,-0.6342731551091363,-0.6914366996377683,15min
GBPUSD,asia_break_up,8,oos,209,-0.43685250225445316,-0.37715798832179953,15min
GBPUSD,asia_break_up,12,is,379,-0.6004862498141443,-0.5324186342167709,15min
GBPUSD,asia_break_up,12,oos,209,-0.6955384230220596,-0.49645504167188,15min
GBPUSD,asia_break_up,24,is,379,-0.04529967640927869,-0.025008078676709657,15min
GBPUSD,asia_break_up,24,oos,209,2.7599254589945117,1.3167496491295743,15min
GBPUSD,asia_break_dn,1,is,292,0.4431297421910454,0.9824541421118981,15min
GBPUSD,asia_break_dn,1,oos,216,0.3449981793157385,0.7359885254921671,15min
GBPUSD,asia_break_dn,2,is,292,-0.05449394027553094,-0.0869523852951694,15min
GBPUSD,asia_break_dn,2,oos,216,0.9526931391064506,1.3053941807890728,15min
GBPUSD,asia_break_dn,4,is,292,-0.26224130520845185,-0.2947391557954888,15min
GBPUSD,asia_break_dn,4,oos,216,1.2921953131269286,1.3233502110652882,15min
GBPUSD,asia_break_dn,8,is,292,0.25873656766536174,0.2302133582358901,15min
GBPUSD,asia_break_dn,8,oos,216,1.7994867676375454,1.3692596811023277,15min
GBPUSD,asia_break_dn,12,is,292,0.24649526245684328,0.18499234620660346,15min
GBPUSD,asia_break_dn,12,oos,216,0.42962881957946686,0.27862616080585845,15min
GBPUSD,asia_break_dn,24,is,292,0.5274083331327942,0.25845588959772015,15min
GBPUSD,asia_break_dn,24,oos,216,2.1112478938695354,0.8436356691736324,15min
GBPUSD,compress,1,is,7639,0.059551734957078134,1.5110081249637568,15min
GBPUSD,compress,1,oos,4410,0.0012415655591762563,0.025040610290965618,15min
GBPUSD,compress,2,is,7639,0.047706690230940464,0.8767586280355316,15min
GBPUSD,compress,2,oos,4410,0.08369370599987541,1.1284137999267672,15min
GBPUSD,compress,4,is,7639,0.12096646332613838,1.538764461879298,15min
GBPUSD,compress,4,oos,4410,0.2677357515244207,2.543426960549914,15min
GBPUSD,compress,8,is,7639,0.1088199537500424,0.9572078636593768,15min
GBPUSD,compress,8,oos,4410,0.4310948553170188,2.9060967991628135,15min
GBPUSD,compress,12,is,7639,0.1810954889442064,1.3198613694646177,15min
GBPUSD,compress,12,oos,4410,0.38640225117432786,2.194513542095917,15min
GBPUSD,compress,24,is,7639,0.10039624035729666,0.5414057610108183,15min
GBPUSD,compress,24,oos,4410,-0.45214779774041913,-1.9494499158364778,15min
GBPUSD,expand_up,1,is,3537,-0.034600688752304445,-0.2860620098726357,15min
GBPUSD,expand_up,1,oos,2029,-0.025127589627142136,-0.1581550838573853,15min
GBPUSD,expand_up,2,is,3537,-0.05489546854223461,-0.32631101530462026,15min
GBPUSD,expand_up,2,oos,2029,-0.28311917949603865,-1.3147640127208784,15min
GBPUSD,expand_up,4,is,3537,-0.008377309716597456,-0.03554465706656089,15min
GBPUSD,expand_up,4,oos,2029,-0.13576682841343574,-0.4648800452712618,15min
GBPUSD,expand_up,8,is,3537,0.0027251656954802696,0.00872572127384113,15min
GBPUSD,expand_up,8,oos,2029,-0.18001987675950748,-0.47544125042762636,15min
GBPUSD,expand_up,12,is,3537,0.03602159078242132,0.09884528189242708,15min
GBPUSD,expand_up,12,oos,2029,0.07816406317689605,0.1746922253517544,15min
GBPUSD,expand_up,24,is,3537,-0.09590988600654542,-0.18943929020922812,15min
GBPUSD,expand_up,24,oos,2029,0.4967504676607067,0.7731164115470378,15min
GBPUSD,expand_dn,1,is,3472,0.0997034670190252,0.7860429751644641,15min
GBPUSD,expand_dn,1,oos,2048,0.1870075470819802,1.190685180782451,15min
GBPUSD,expand_dn,2,is,3472,0.08826062067395249,0.509423464289902,15min
GBPUSD,expand_dn,2,oos,2048,0.44187499674531583,2.011595181594131,15min
GBPUSD,expand_dn,4,is,3472,-0.09302080934329109,-0.3948656336958227,15min
GBPUSD,expand_dn,4,oos,2048,0.6866705012055443,2.378777952940507,15min
GBPUSD,expand_dn,8,is,3472,-0.20614530532252948,-0.6513822178611102,15min
GBPUSD,expand_dn,8,oos,2048,0.5872462800796181,1.4762893101109946,15min
GBPUSD,expand_dn,12,is,3472,-0.25154226673956126,-0.6655260558422322,15min
GBPUSD,expand_dn,12,oos,2048,0.787925079706727,1.7253523646100515,15min
GBPUSD,expand_dn,24,is,3472,-0.03538580076025714,-0.06612599403752209,15min
GBPUSD,expand_dn,24,oos,2048,1.472540754112524,2.237975684065218,15min
GBPUSD,spike_up,1,is,1107,-0.04953307598965866,-0.20135663793904773,15min
GBPUSD,spike_up,1,oos,612,-0.12597131959483565,-0.4155976338996686,15min
GBPUSD,spike_up,2,is,1107,-0.16094510410217622,-0.48790421608143675,15min
GBPUSD,spike_up,2,oos,612,-0.5154849654686887,-1.4048222047005638,15min
GBPUSD,spike_up,4,is,1107,0.395860469302439,0.8629069029497386,15min
GBPUSD,spike_up,4,oos,612,-0.5711761465681972,-1.1077156708618832,15min
GBPUSD,spike_up,8,is,1107,0.08024849054702017,0.1361231388147995,15min
GBPUSD,spike_up,8,oos,612,-0.7643476550204301,-1.0864425552199555,15min
GBPUSD,spike_up,12,is,1107,0.08595539164720364,0.12556308639568214,15min
GBPUSD,spike_up,12,oos,612,-0.47259067933117527,-0.5854922539529845,15min
GBPUSD,spike_up,24,is,1107,-0.15622833143018153,-0.1703092653881131,15min
GBPUSD,spike_up,24,oos,612,0.4344505082487006,0.37211601972511965,15min
GBPUSD,spike_dn,1,is,1051,0.22172318874557914,0.9032158381578295,15min
GBPUSD,spike_dn,1,oos,582,-0.01272423381896314,-0.03933518754168159,15min
GBPUSD,spike_dn,2,is,1051,0.01770898453196357,0.053930006003285284,15min
GBPUSD,spike_dn,2,oos,582,0.11630281837329298,0.256274502791864,15min
GBPUSD,spike_dn,4,is,1051,-0.17752208802451852,-0.3913140061065988,15min
GBPUSD,spike_dn,4,oos,582,0.793665339854594,1.398147123929717,15min
GBPUSD,spike_dn,8,is,1051,0.10903765078242705,0.18400883136794752,15min
GBPUSD,spike_dn,8,oos,582,0.7490047134182662,0.9630384368901513,15min
GBPUSD,spike_dn,12,is,1051,0.6295650394467978,0.8642087290623811,15min
GBPUSD,spike_dn,12,oos,582,1.4473001636038114,1.6650118259016533,15min
GBPUSD,spike_dn,24,is,1051,2.093002581272234,2.047812874937433,15min
GBPUSD,spike_dn,24,oos,582,1.951296576572847,1.6536954454533113,15min
GBPUSD,london_open,1,is,2084,-0.055427103180090885,-0.40084861252702014,15min
GBPUSD,london_open,1,oos,1248,-0.13779651441640534,-0.7897765866328872,15min
GBPUSD,london_open,2,is,2084,-0.11855574186883855,-0.5987195571184633,15min
GBPUSD,london_open,2,oos,1248,-0.17328175405594798,-0.6950478974585955,15min
GBPUSD,london_open,4,is,2084,0.04916490781705301,0.17966838764693566,15min
GBPUSD,london_open,4,oos,1248,-0.1705673293233197,-0.49094716052015036,15min
GBPUSD,london_open,8,is,2084,0.3507050555573759,0.9325197608160706,15min
GBPUSD,london_open,8,oos,1248,0.3129304998311933,0.6759440778837169,15min
GBPUSD,london_open,12,is,2084,0.3328114221076458,0.7608041419223014,15min
GBPUSD,london_open,12,oos,1248,0.17377055747116335,0.3353534564144219,15min
GBPUSD,london_open,24,is,2084,-0.09294241490182134,-0.14013468384939684,15min
GBPUSD,london_open,24,oos,1248,2.1463306930148107,2.7552403598124133,15min
GBPUSD,ny_open,1,is,2084,-0.07658833158699341,-0.4068439568881806,15min
GBPUSD,ny_open,1,oos,1248,0.12085733173742003,0.5518937511367795,15min
GBPUSD,ny_open,2,is,2084,-0.1804319414849226,-0.6617631610007527,15min
GBPUSD,ny_open,2,oos,1248,0.2801637587645606,0.9179510119419786,15min
GBPUSD,ny_open,4,is,2084,0.04642978305703809,0.12027681375985917,15min
GBPUSD,ny_open,4,oos,1248,0.5876057475997672,1.4503232535013688,15min
GBPUSD,ny_open,8,is,2084,-0.19723160471130924,-0.3651198880978462,15min
GBPUSD,ny_open,8,oos,1248,0.578876012651776,0.9757069240343977,15min
GBPUSD,ny_open,12,is,2084,-0.5272653533241889,-0.8600077522219743,15min
GBPUSD,ny_open,12,oos,1248,0.3643955574712254,0.531424894373967,15min
GBPUSD,ny_open,24,is,2084,0.04448560813088884,0.06177066778362248,15min
GBPUSD,ny_open,24,oos,1248,-0.18904590954923142,-0.2152227674432476,15min
GBPUSD,friday_pm,1,is,3132,-0.06895999870715727,-0.7848437499643539,15min
GBPUSD,friday_pm,1,oos,1872,-0.003247903305292932,-0.03048935327390607,15min
GBPUSD,friday_pm,2,is,3132,-0.15623098081151146,-1.337005326923291,15min
GBPUSD,friday_pm,2,oos,1872,-0.07190621986790799,-0.5118580409901532,15min
GBPUSD,friday_pm,4,is,3132,-0.31967779814920927,-2.0352327987660486,15min
GBPUSD,friday_pm,4,oos,1872,-0.1442185045369729,-0.7922437374028491,15min
GBPUSD,friday_pm,8,is,3132,-0.37821255670709886,-1.9380995700823245,15min
GBPUSD,friday_pm,8,oos,1872,-0.22446266256189754,-0.9832568539682947,15min
GBPUSD,friday_pm,12,is,3132,-0.3646687712036761,-1.7738945702288755,15min
GBPUSD,friday_pm,12,oos,1872,-0.23039610919541914,-0.9005708253068232,15min
GBPUSD,friday_pm,24,is,3132,-0.4901134044763257,-2.3291378025195466,15min
GBPUSD,friday_pm,24,oos,1872,-0.33805766168589785,-1.1227935379108112,15min
GBPUSD,sunday_open,1,is,8257,-0.022092916541030815,-0.859725919851583,15min
GBPUSD,sunday_open,1,oos,4992,-0.07157055287793913,-1.729413782724064,15min
GBPUSD,sunday_open,2,is,8257,-0.03631978003616104,-1.0346622478019296,15min
GBPUSD,sunday_open,2,oos,4992,-0.13311749123543762,-2.2874149835818263,15min
GBPUSD,sunday_open,4,is,8257,-0.05444893393692151,-1.135853039761279,15min
GBPUSD,sunday_open,4,oos,4992,-0.21473800240024915,-2.6215611488340462,15min
GBPUSD,sunday_open,8,is,8257,-0.025259742646761126,-0.37186228791454407,15min
GBPUSD,sunday_open,8,oos,4992,-0.3253507501687899,-2.752140366623365,15min
GBPUSD,sunday_open,12,is,8257,0.018450461117661812,0.21552405478441403,15min
GBPUSD,sunday_open,12,oos,4992,-0.39881558034934916,-2.716574318769045,15min
GBPUSD,sunday_open,24,is,8257,0.14176346310973675,1.0594390872526387,15min
GBPUSD,sunday_open,24,oos,4992,-0.6742522396775255,-3.3294050345696964,15min
AUDUSD,asia_break_up,1,is,223,0.10184500852104926,0.40838323444557934,15min
AUDUSD,asia_break_up,1,oos,146,-0.5637758938917508,-1.9184686411369496,15min
AUDUSD,asia_break_up,2,is,223,0.18732230403770622,0.5271946197124541,15min
AUDUSD,asia_break_up,2,oos,146,-1.2150073737193114,-2.618809010468267,15min
AUDUSD,asia_break_up,4,is,223,-0.0941894726420361,-0.18206839139729009,15min
AUDUSD,asia_break_up,4,oos,146,-1.0663930146604272,-1.9532403380749186,15min
AUDUSD,asia_break_up,8,is,223,-0.15071078384909178,-0.22326315418348938,15min
AUDUSD,asia_break_up,8,oos,146,-1.5922756855039866,-1.9587358669037627,15min
AUDUSD,asia_break_up,12,is,223,0.44859750135641363,0.5575351281169588,15min
AUDUSD,asia_break_up,12,oos,146,-1.9789066285614194,-1.9001746754891258,15min
AUDUSD,asia_break_up,24,is,223,0.0682712358966203,0.05078120742899673,15min
AUDUSD,asia_break_up,24,oos,146,-0.4654597353704191,-0.2671753726166872,15min
AUDUSD,asia_break_dn,1,is,240,-0.06685921419938927,-0.2731944814172985,15min
AUDUSD,asia_break_dn,1,oos,139,0.4876481723346852,1.5482098123323624,15min
AUDUSD,asia_break_dn,2,is,240,-0.3085100950654615,-0.928243312067153,15min
AUDUSD,asia_break_dn,2,oos,139,0.7028501211066789,1.4915230995953381,15min
AUDUSD,asia_break_dn,4,is,240,-0.17264519013086127,-0.39072960454833044,15min
AUDUSD,asia_break_dn,4,oos,139,0.5779255031280603,0.8272601762105505,15min
AUDUSD,asia_break_dn,8,is,240,0.20366795307162214,0.31187786419150315,15min
AUDUSD,asia_break_dn,8,oos,139,1.13227836988172,1.102087473460065,15min
AUDUSD,asia_break_dn,12,is,240,0.20456442960751897,0.23952281942957968,15min
AUDUSD,asia_break_dn,12,oos,139,1.057705177883664,0.899081180013705,15min
AUDUSD,asia_break_dn,24,is,240,0.46808719254834125,0.3253452519202492,15min
AUDUSD,asia_break_dn,24,oos,139,3.6041642914353904,2.038213653209157,15min
AUDUSD,compress,1,is,7232,0.029208724591190015,0.9915918654407441,15min
AUDUSD,compress,1,oos,4246,-0.03469727678876176,-0.9285817459692884,15min
AUDUSD,compress,2,is,7232,0.049567891660254236,1.2080429207930814,15min
AUDUSD,compress,2,oos,4246,-0.10392925991036578,-1.8752329080775914,15min
AUDUSD,compress,4,is,7232,0.09863799570988081,1.7225167804767685,15min
AUDUSD,compress,4,oos,4246,-0.07859015104663744,-1.0420268704910824,15min
AUDUSD,compress,8,is,7232,0.09090845823392715,1.0508244085274674,15min
AUDUSD,compress,8,oos,4246,-0.10412906563937556,-0.9725517739380923,15min
AUDUSD,compress,12,is,7232,0.18533600040398163,1.6946487491811093,15min
AUDUSD,compress,12,oos,4246,-0.22154401814329422,-1.6410282053085337,15min
AUDUSD,compress,24,is,7232,0.525753582666364,3.3334502877253613,15min
AUDUSD,compress,24,oos,4246,-0.8881258707823857,-4.615355309643222,15min
AUDUSD,expand_up,1,is,3246,-0.19624653705828507,-2.1950515925269234,15min
AUDUSD,expand_up,1,oos,1946,-0.002228497757726746,-0.019220486709343544,15min
AUDUSD,expand_up,2,is,3246,-0.36929529223117086,-3.0050709576348384,15min
AUDUSD,expand_up,2,oos,1946,-0.05246848115430863,-0.3438633048064159,15min
AUDUSD,expand_up,4,is,3246,-0.4845240410242358,-2.862971391415768,15min
AUDUSD,expand_up,4,oos,1946,-0.17387305802296443,-0.871986066202214,15min
AUDUSD,expand_up,8,is,3246,-0.4243315078032493,-1.8992154096877931,15min
AUDUSD,expand_up,8,oos,1946,-0.19287579250254067,-0.727566101001738,15min
AUDUSD,expand_up,12,is,3246,-0.5179282536950199,-1.9869938341300726,15min
AUDUSD,expand_up,12,oos,1946,-0.20989502766605309,-0.6564327127505147,15min
AUDUSD,expand_up,24,is,3246,-0.6580838641367777,-1.9716097641463612,15min
AUDUSD,expand_up,24,oos,1946,0.06821876214461588,0.16532633821125764,15min
AUDUSD,expand_dn,1,is,3304,0.12437918370215344,1.3170905324903905,15min
AUDUSD,expand_dn,1,oos,1951,0.34359826618073597,2.9540840364725707,15min
AUDUSD,expand_dn,2,is,3304,0.1409042511815556,1.0629572425647955,15min
AUDUSD,expand_dn,2,oos,1951,0.3580169973443345,2.1137577965478656,15min
AUDUSD,expand_dn,4,is,3304,0.2213363473994275,1.3070282065479761,15min
AUDUSD,expand_dn,4,oos,1951,0.5192630942545711,2.346847016288175,15min
AUDUSD,expand_dn,8,is,3304,0.2800364962516504,1.226223518829776,15min
AUDUSD,expand_dn,8,oos,1951,0.5935345417767101,2.0270960098255117,15min
AUDUSD,expand_dn,12,is,3304,0.3486337395348681,1.3317510567223778,15min
AUDUSD,expand_dn,12,oos,1951,0.5705794095082034,1.744824878294602,15min
AUDUSD,expand_dn,24,is,3304,0.4151094887549797,1.177252597087396,15min
AUDUSD,expand_dn,24,oos,1951,1.0649737269214103,2.4408681247887265,15min
AUDUSD,spike_up,1,is,1016,-0.13639825619413334,-0.7709433863827632,15min
AUDUSD,spike_up,1,oos,558,0.06933894874590947,0.3006661164819462,15min
