pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
USDCAD,1,2024-01-12 04:01:00+00:00,2024-01-12 08:21:00+00:00,1.3378200000000002,1.3357731990471873,1.3419136019056264,1.3357531990471874,SL,0.03,2.0160828559465136,5.691553376097577,-20.66800952812864,-4.844706356937847,0.2803067677269425,0.08969816567251199,0.21,227.66213504390308,4.333333333333333
USDCHF,1,2024-01-12 01:01:00+00:00,2024-01-12 14:37:00+00:00,0.85231,0.8500303019118847,0.8568693961762307,0.8500103019118846,SL,0.02,2.3497353052591112,5.691553376097577,-22.99698088115365,-5.536388844705248,0.24638922457784548,0.0938625617439664,0.14,227.66213504390308,13.6
EURUSD,-1,2024-01-12 10:02:00+00:00,2024-01-12 14:43:00+00:00,1.09604,1.0980399571007622,1.0920400857984753,1.098059957100762,SL,0.02,1.7951532001313875,5.570435717174131,-20.19957100762193,-4.179914201524386,0.2,0.08000000000000002,0.14,222.81742868696523,4.683333333333334
GBPUSD,1,2024-01-12 14:30:00+00:00,2024-01-12 17:01:00+00:00,1.2769300000000001,1.2740385224537376,1.282712955092525,1.2740185224537377,SL,0.01,1.2976891275074662,5.570435717174131,-29.1147754626242,-2.9814775462624197,0.1,0.04000000000000001,0.07,222.81742868696523,2.5166666666666666
GBPUSD,1,2024-01-12 19:04:00+00:00,2024-01-15 09:47:00+00:00,1.2751100000000002,1.2720815401737664,1.281166919652468,1.2720615401737665,SL,0.01,1.4413025405754782,5.252991202361829,-30.48459826233696,-3.1184598262336958,0.1,0.04000000000000001,0.07,210.11964809447318,62.71666666666667
USDCAD,1,2024-01-12 16:05:00+00:00,2024-01-15 14:41:00+00:00,1.338815,1.3362550043596957,1.343934991280609,1.343934991280609,TP,0.02,1.7945803501089252,5.32752814101839,51.199912806088044,7.50854185321916,0.19420158871849286,0.05975433499027125,0.14,213.1011256407356,70.6
EURUSD,-1,2024-01-15 15:13:00+00:00,2024-01-15 15:54:00+00:00,1.093795,1.0949484068880688,1.0914881862238628,1.0949684068880687,SL,0.04,2.1507777524415665,5.3627432530364665,-11.734068880686621,-4.973627552274649,0.4,0.16000000000000003,0.28,214.50973012145863,0.6833333333333333
GBPUSD,1,2024-01-15 16:15:00+00:00,2024-01-15 23:39:00+00:00,1.2733750000000001,1.2715323495893966,1.2770603008212074,1.2715123495893967,SL,0.02,1.7587903831466745,5.2384025642296,-18.62650410603406,-3.865300821206812,0.2,0.08000000000000002,0.14,209.53610256918398,7.4
AUDUSD,-1,2024-01-12 16:37:00+00:00,2024-01-16 00:02:00+00:00,0.6696850000000001,0.6720896525589135,0.6648756948821732,0.6648756948821732,TP,0.02,2.256818260985986,5.32752814101839,48.09305117826845,9.47861023565369,0.2,0.08000000000000002,0.14,213.1011256407356,79.41666666666667
EURUSD,-1,2024-01-16 00:15:00+00:00,2024-01-16 00:55:00+00:00,1.094305,1.0952891790188946,1.0923366419622111,1.0923366419622111,TP,0.05,2.2871989512323267,5.378735299590772,19.68358037788942,9.49179018894471,0.5,0.2,0.35000000000000003,215.14941198363087,0.6666666666666666
