a,b,lb,entry,exit,stop,hold,is_n,is_pf,is_net,is_win,oos_n,oos_pf,oos_net,oos_win
AUDUSD,NZDUSD,200,1.5,1.0,3.5,480,180,0.385,-66.37,16.7,104,0.422,-51.99,22.1
AUDUSD,NZDUSD,200,1.5,1.0,5.0,240,73,0.61,-24.69,32.9,49,0.694,-16.73,40.8
AUDUSD,NZDUSD,200,1.5,1.0,5.0,480,73,0.62,-23.71,32.9,49,0.694,-16.73,40.8
AUDUSD,NZDUSD,200,2.0,0.0,3.5,240,141,0.343,-82.68,10.6,80,0.278,-77.91,10.0
AUDUSD,NZDUSD,200,2.0,0.0,3.5,480,128,0.558,-46.59,9.4,70,0.098,-88.13,7.1
AUDUSD,NZDUSD,200,2.0,0.0,5.0,240,36,0.349,-57.78,27.8,26,0.4,-44.38,26.9
AUDUSD,NZDUSD,200,2.0,0.5,3.5,240,158,0.33,-70.78,8.9,91,0.489,-37.76,19.8
AUDUSD,NZDUSD,200,2.0,0.5,3.5,480,158,0.31,-72.84,8.9,91,0.489,-37.76,19.8
AUDUSD,NZDUSD,200,2.0,0.5,5.0,240,51,0.541,-28.13,23.5,36,0.933,-2.51,41.7
AUDUSD,NZDUSD,200,2.0,0.5,5.0,480,51,0.508,-30.19,23.5,36,0.933,-2.51,41.7
AUDUSD,NZDUSD,200,2.0,1.0,3.5,240,160,0.275,-67.43,11.2,91,0.388,-44.29,18.7
AUDUSD,NZDUSD,200,2.0,1.0,3.5,480,160,0.275,-67.43,11.2,91,0.388,-44.29,18.7
AUDUSD,NZDUSD,200,2.0,1.0,5.0,240,53,0.49,-24.78,28.3,36,0.754,-9.03,44.4
AUDUSD,NZDUSD,200,2.0,1.0,5.0,480,53,0.49,-24.78,28.3,36,0.754,-9.03,44.4
AUDUSD,NZDUSD,200,2.5,0.0,3.5,240,136,0.205,-98.8,7.4,75,0.342,-54.28,8.0
AUDUSD,NZDUSD,200,2.5,0.0,3.5,480,126,0.29,-83.14,7.1,69,0.302,-50.07,5.8
AUDUSD,NZDUSD,200,2.5,0.0,5.0,240,30,0.262,-56.08,23.3,20,0.645,-15.85,35.0
AUDUSD,NZDUSD,200,2.5,0.5,3.5,240,143,0.196,-75.35,5.6,80,0.495,-28.45,16.2
AUDUSD,NZDUSD,200,2.5,0.5,3.5,480,143,0.197,-75.12,5.6,80,0.495,-28.45,16.2
AUDUSD,NZDUSD,200,2.5,0.5,5.0,240,36,0.358,-32.69,16.7,25,1.333,6.8,48.0
AUDUSD,NZDUSD,200,2.5,0.5,5.0,480,36,0.359,-32.47,16.7,25,1.333,6.8,48.0
AUDUSD,NZDUSD,200,2.5,1.0,3.5,240,143,0.184,-63.9,9.1,80,0.33,-37.52,13.8
AUDUSD,NZDUSD,200,2.5,1.0,3.5,480,143,0.184,-63.9,9.1,80,0.33,-37.52,13.8
AUDUSD,NZDUSD,200,2.5,1.0,5.0,240,36,0.4,-21.24,27.8,25,0.892,-2.27,40.0
AUDUSD,NZDUSD,200,2.5,1.0,5.0,480,36,0.4,-21.24,27.8,25,0.892,-2.27,40.0
AUDUSD,NZDUSD,200,3.0,0.0,3.5,240,130,0.259,-79.05,6.9,71,0.307,-44.49,7.0
AUDUSD,NZDUSD,200,3.0,0.0,3.5,480,124,0.213,-85.39,7.3,67,0.198,-50.51,6.0
AUDUSD,NZDUSD,200,3.0,0.5,3.5,240,131,0.079,-77.74,5.3,72,0.293,-37.42,9.7
AUDUSD,NZDUSD,200,3.0,0.5,3.5,480,131,0.079,-77.74,5.3,72,0.293,-37.42,9.7
AUDUSD,NZDUSD,200,3.0,1.0,3.5,240,131,0.093,-65.29,8.4,72,0.186,-42.05,8.3
AUDUSD,NZDUSD,200,3.0,1.0,3.5,480,131,0.093,-65.29,8.4,72,0.186,-42.05,8.3
AUDUSD,NZDUSD,300,1.5,0.0,3.5,240,129,0.3,-141.78,11.6,86,0.161,-121.75,5.8
AUDUSD,NZDUSD,300,1.5,0.0,3.5,480,110,0.183,-151.02,6.4,76,0.245,-70.25,6.6
AUDUSD,NZDUSD,300,1.5,0.0,5.0,240,39,0.663,-35.41,38.5,22,0.183,-87.03,27.3
AUDUSD,NZDUSD,300,1.5,0.5,3.5,240,135,0.278,-124.2,11.9,97,0.312,-75.12,12.4
AUDUSD,NZDUSD,300,1.5,0.5,3.5,480,133,0.253,-129.7,11.3,96,0.302,-74.98,11.5
AUDUSD,NZDUSD,300,1.5,0.5,5.0,240,44,0.522,-44.94,34.1,31,0.346,-45.75,35.5
AUDUSD,NZDUSD,300,1.5,0.5,5.0,480,42,0.489,-48.67,33.3,30,0.313,-46.78,33.3
AUDUSD,NZDUSD,300,1.5,1.0,3.5,240,136,0.288,-112.52,15.4,98,0.282,-76.99,13.3
AUDUSD,NZDUSD,300,1.5,1.0,3.5,480,136,0.284,-115.12,15.4,97,0.285,-75.96,13.4
AUDUSD,NZDUSD,300,1.5,1.0,5.0,240,45,0.603,-31.5,42.2,32,0.317,-48.79,34.4
AUDUSD,NZDUSD,300,1.5,1.0,5.0,480,45,0.584,-34.09,42.2,31,0.322,-47.77,35.5
AUDUSD,NZDUSD,300,2.0,0.0,3.5,240,118,0.202,-137.17,8.5,82,0.344,-54.75,8.5
AUDUSD,NZDUSD,300,2.0,0.0,3.5,480,108,0.117,-144.72,4.6,75,0.151,-90.7,5.3
AUDUSD,NZDUSD,300,2.0,0.0,5.0,240,27,0.42,-50.09,29.6,17,0.458,-24.95,47.1
AUDUSD,NZDUSD,300,2.0,0.5,3.5,240,124,0.215,-119.78,10.5,87,0.458,-37.96,13.8
AUDUSD,NZDUSD,300,2.0,0.5,3.5,480,123,0.19,-120.57,9.8,86,0.423,-39.95,12.8
AUDUSD,NZDUSD,300,2.0,0.5,5.0,240,33,0.458,-40.47,39.4,21,0.701,-9.13,52.4
AUDUSD,NZDUSD,300,2.0,0.5,5.0,480,32,0.438,-39.54,37.5,20,0.605,-11.75,50.0
AUDUSD,NZDUSD,300,2.0,1.0,3.5,240,125,0.205,-114.61,10.4,87,0.373,-45.16,13.8
AUDUSD,NZDUSD,300,2.0,1.0,3.5,480,125,0.203,-115.96,10.4,87,0.374,-45.0,13.8
AUDUSD,NZDUSD,300,2.0,1.0,5.0,240,34,0.485,-33.58,35.3,21,0.539,-16.96,47.6
AUDUSD,NZDUSD,300,2.0,1.0,5.0,480,34,0.476,-34.93,35.3,21,0.541,-16.8,47.6
AUDUSD,NZDUSD,300,2.5,0.0,3.5,240,110,0.195,-118.25,8.2,78,0.205,-54.54,5.1
AUDUSD,NZDUSD,300,2.5,0.0,3.5,480,104,0.104,-137.05,3.8,74,0.106,-80.42,4.1
AUDUSD,NZDUSD,300,2.5,0.5,3.5,240,113,0.173,-112.1,7.1,79,0.426,-29.34,7.6
AUDUSD,NZDUSD,300,2.5,0.5,3.5,480,112,0.152,-111.17,6.2,78,0.423,-28.98,7.7
AUDUSD,NZDUSD,300,2.5,1.0,3.5,240,113,0.167,-107.42,8.8,79,0.363,-31.81,10.1
AUDUSD,NZDUSD,300,2.5,1.0,3.5,480,113,0.167,-107.65,8.8,79,0.363,-31.81,10.1
AUDUSD,NZDUSD,300,3.0,0.0,3.5,240,104,0.17,-91.55,7.7,73,0.193,-38.13,4.1
AUDUSD,NZDUSD,300,3.0,0.0,3.5,480,101,0.124,-104.6,4.0,72,0.134,-53.86,4.2
AUDUSD,NZDUSD,300,3.0,0.5,3.5,240,105,0.1,-95.53,4.8,73,0.461,-20.65,8.2
AUDUSD,NZDUSD,300,3.0,0.5,3.5,480,105,0.1,-95.47,4.8,73,0.491,-19.5,8.2
AUDUSD,NZDUSD,300,3.0,1.0,3.5,240,105,0.108,-90.38,6.7,73,0.362,-24.15,9.6
AUDUSD,NZDUSD,300,3.0,1.0,3.5,480,105,0.108,-90.38,6.7,73,0.362,-24.15,9.6
AUDUSD,NZDUSD,500,1.5,0.0,3.5,240,97,0.394,-58.09,13.4,84,0.158,-90.66,9.5
AUDUSD,NZDUSD,500,1.5,0.0,3.5,480,84,0.459,-62.51,10.7,77,0.104,-111.45,6.5
AUDUSD,NZDUSD,500,1.5,0.0,5.0,240,29,0.577,-22.52,37.9,20,0.306,-36.19,40.0
AUDUSD,NZDUSD,500,1.5,0.5,3.5,240,98,0.3,-68.95,11.2,86,0.158,-84.12,11.6
AUDUSD,NZDUSD,500,1.5,0.5,3.5,480,94,0.342,-71.68,11.7,82,0.123,-98.67,7.3
AUDUSD,NZDUSD,500,1.5,0.5,5.0,240,30,0.581,-20.5,33.3,21,0.291,-28.22,47.6
AUDUSD,NZDUSD,500,1.5,0.5,5.0,480,26,0.592,-25.04,38.5,17,0.226,-44.53,35.3
AUDUSD,NZDUSD,500,1.5,1.0,3.5,240,98,0.286,-69.81,10.2,86,0.166,-80.44,10.5
AUDUSD,NZDUSD,500,1.5,1.0,3.5,480,95,0.314,-65.51,11.6,82,0.128,-89.81,7.3
AUDUSD,NZDUSD,500,1.5,1.0,5.0,240,30,0.581,-20.14,30.0,21,0.36,-24.59,42.9
AUDUSD,NZDUSD,500,1.5,1.0,5.0,480,27,0.613,-18.87,37.0,17,0.234,-35.67,29.4
AUDUSD,NZDUSD,500,2.0,0.0,3.5,240,90,0.292,-67.88,11.1,77,0.16,-85.44,6.5
AUDUSD,NZDUSD,500,2.0,0.0,3.5,480,82,0.171,-112.2,7.3,76,0.074,-130.07,3.9
AUDUSD,NZDUSD,500,2.0,0.5,3.5,240,90,0.229,-67.81,11.1,79,0.162,-86.61,7.6
AUDUSD,NZDUSD,500,2.0,0.5,3.5,480,89,0.193,-80.22,11.2,78,0.101,-97.63,5.1
AUDUSD,NZDUSD,500,2.0,1.0,3.5,240,90,0.234,-66.0,11.1,79,0.172,-81.63,7.6
AUDUSD,NZDUSD,500,2.0,1.0,3.5,480,89,0.221,-68.08,10.1,78,0.093,-92.29,3.8
AUDUSD,NZDUSD,500,2.5,0.0,3.5,240,80,0.243,-48.3,7.5,73,0.14,-74.11,4.1
AUDUSD,NZDUSD,500,2.5,0.0,3.5,480,78,0.293,-60.66,6.4,71,0.106,-87.02,2.8
AUDUSD,NZDUSD,500,2.5,0.5,3.5,240,80,0.145,-53.03,7.5,74,0.105,-81.03,4.1
AUDUSD,NZDUSD,500,2.5,0.5,3.5,480,80,0.152,-55.82,7.5,74,0.065,-87.62,1.4
AUDUSD,NZDUSD,500,2.5,1.0,3.5,240,80,0.18,-50.65,10.0,74,0.114,-76.01,4.1
AUDUSD,NZDUSD,500,2.5,1.0,3.5,480,80,0.186,-52.07,10.0,74,0.108,-78.08,2.7
AUDUSD,NZDUSD,500,3.0,0.0,3.5,240,77,0.228,-41.53,7.8,71,0.125,-66.65,2.8
AUDUSD,NZDUSD,500,3.0,0.0,3.5,480,74,0.227,-55.69,5.4,70,0.098,-75.16,2.9
AUDUSD,NZDUSD,500,3.0,0.5,3.5,240,77,0.228,-40.21,7.8,72,0.09,-70.73,2.8
AUDUSD,NZDUSD,500,3.0,0.5,3.5,480,77,0.2,-43.49,7.8,72,0.048,-77.8,1.4
AUDUSD,NZDUSD,500,3.0,1.0,3.5,240,77,0.275,-37.84,9.1,72,0.102,-64.07,2.8
AUDUSD,NZDUSD,500,3.0,1.0,3.5,480,77,0.252,-39.32,9.1,72,0.101,-64.62,2.8
EURJPY,GBPJPY,200,1.5,0.0,3.5,240,101,0.324,-197.26,17.8,104,0.392,-90.78,13.5
EURJPY,GBPJPY,200,1.5,0.0,3.5,480,82,0.699,-53.39,18.3,93,0.478,-68.64,10.8
EURJPY,GBPJPY,200,1.5,0.0,5.0,240,39,0.499,-91.14,35.9,34,0.456,-57.85,32.4
EURJPY,GBPJPY,200,1.5,0.5,3.5,240,128,0.678,-93.03,25.8,124,0.562,-68.38,16.9
EURJPY,GBPJPY,200,1.5,0.5,3.5,480,128,0.678,-93.03,25.8,123,0.563,-68.16,16.3
EURJPY,GBPJPY,200,1.5,0.5,5.0,240,63,1.041,7.39,47.6,49,0.668,-30.16,36.7
EURJPY,GBPJPY,200,1.5,0.5,5.0,480,63,1.041,7.39,47.6,48,0.693,-27.56,37.5
EURJPY,GBPJPY,200,1.5,1.0,3.5,240,129,0.575,-119.32,22.5,129,0.504,-75.65,16.3
EURJPY,GBPJPY,200,1.5,1.0,3.5,480,129,0.575,-119.32,22.5,129,0.504,-75.65,16.3
